exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
6 MPI,0.002689300000201911,0.0,0.0023728000014671125,0.0031310999984270893,0.003193299999111332,0.002304499997990206,0.002444800004013814,0.0,0.0,0.0,0.0,0.0
7 MPI,0.008129080002254341,0.0,0.007357000002230052,0.007035200003883801,0.010785200000100303,0.007353400003921706,0.008114600001135841,0.0,0.0,0.0,0.0,0.0
8 MPI,0.029078160000790377,0.0,0.03505410000070697,0.02448770000046352,0.02802230000088457,0.028654599998844787,0.029172100003052037,0.0,0.0,0.0,0.0,0.0
9 MPI,0.14346503999840934,0.0,0.13513329999841517,0.1567471999951522,0.1323597000009613,0.14503549999790266,0.14804949999961536,0.0,0.0,0.0,0.0,0.0
10 MPI,0.7103064599999925,0.0,0.7079091999985394,0.7368706999986898,0.7045027999993181,0.7158186000015121,0.6864310000019032,0.0,0.0,0.0,0.0,0.0
11 MPI,4.197381619999942,0.0,4.1438114999982645,4.2107729999988806,4.155224800000724,4.293355500005418,4.183743299996422,0.0,0.0,0.0,0.0,0.0
12 MPI,29.897894040001848,0.0,30.06699220000155,30.016745799999626,29.889804500002356,29.83930820000387,29.676619500001834,0.0,0.0,0.0,0.0,0.0
13 MPI,235.11144704000034,0.0,236.3504993000024,234.47165250000398,233.7182845999996,233.5796835000001,237.43711529999564,0.0,0.0,0.0,0.0,0.0
6 SEC,0.029282880001119338,0.0,0.030714400003489573,0.029131399998732377,0.029304000003321562,0.028636000002734363,0.028628599997318815,0.0,0.0,0.0,0.0,0.0
7 SEC,0.060333499999251215,0.0,0.06073800000012852,0.05998159999580821,0.06019219999870984,0.060492800002975855,0.06026289999863366,0.0,0.0,0.0,0.0,0.0
8 SEC,0.20414460000320106,0.0,0.20137200000317534,0.2014608000026783,0.20306750000600005,0.2043989000012516,0.21042380000289995,0.0,0.0,0.0,0.0,0.0
9 SEC,0.8934796200017445,0.0,0.8970133000038913,0.8909725000048638,0.8946256999988691,0.8927302000010968,0.8920564000000013,0.0,0.0,0.0,0.0,0.0
10 SEC,4.099762219999684,0.0,4.0990553999945405,4.08489499999996,4.108394100003352,4.1030172999962815,4.103449300004286,0.0,0.0,0.0,0.0,0.0
11 SEC,22.42618649999931,0.0,22.355210499998066,22.41438790000393,22.40389960000175,22.536025899993547,22.421408599999268,0.0,0.0,0.0,0.0,0.0
12 SEC,133.9727838799983,0.0,134.05730229999608,133.69151380000403,134.34823799999867,134.0702519999977,133.69661329999508,0.0,0.0,0.0,0.0,0.0
13 SEC,868.0411636400022,0.0,864.2142595000041,865.9321351000035,870.7643005000064,871.6217934000015,867.6733296999955,0.0,0.0,0.0,0.0,0.0
